City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,92,RU,1612471882,92,59.2353,163.0719,6.37,14.29
rock sound,100,CN,1612471882,91,30.634,117.8517,48.54,1.72
rock sound,100,LK,1612471882,74,6.1241,81.1185,76.23,17.81
rock sound,99,PG,1612471882,88,-5.5502,150.1429,77.38,2.33
rock sound,0,FR,1612471883,100,46.4812,3.9795,46.0,3.44
rock sound,43,CN,1612471883,88,21.85,111.9667,60.04,3.49
rock sound,19,CO,1612471883,57,11.5444,-72.9072,86.63,15.23
rock sound,97,RU,1612471883,94,62.5147,65.8878,2.82,5.41
rock sound,51,BR,1612471883,67,-13.3433,-44.6367,81.19,3.51
rock sound,32,GY,1612471883,70,8.2,-59.7833,80.46,8.03
rock sound,100,IN,1612471883,69,30.5667,79.5667,38.7,3.96
rock sound,100,RU,1612471883,92,56.7938,105.7672,3.7,3.11
rock sound,0,EG,1612471883,48,26.7292,33.9365,66.2,16.11
rock sound,40,ID,1612471883,94,-3.6954,128.1814,75.2,4.61
rock sound,31,GM,1612471883,25,13.35,-15.75,78.67,9.19
rock sound,1,JP,1612471627,84,39.4667,141.95,22.01,9.08
rock sound,90,RU,1612471884,78,64.75,177.4833,-2.2,20.13
rock sound,96,KZ,1612471884,80,42.4252,68.795,35.6,2.24
rock sound,90,RU,1612471884,86,57.8943,55.9392,23.0,6.71
rock sound,0,FR,1612471884,100,46.25,3.5833,46.0,3.44
rock sound,20,GB,1612471884,51,60.3964,-1.353,35.6,14.97
rock sound,91,DE,1612471884,89,53.1186,13.5022,33.01,5.35
rock sound,6,HK,1612471839,81,22.2855,114.1577,64.0,3.0
rock sound,16,NE,1612471884,16,14.7308,0.9174,77.49,9.6
rock sound,75,RU,1612471884,85,55.0026,74.1028,3.2,4.47
rock sound,1,US,1612471884,44,40.5992,-77.5714,42.01,1.52
rock sound,37,PE,1612471884,56,-5.5569,-80.8222,82.18,14.61
rock sound,7,BW,1612471671,69,-26.0217,22.401,75.79,13.89
rock sound,20,BR,1612471884,70,-1.9417,-54.7383,87.8,11.5
rock sound,0,BR,1612471812,65,-22.9661,-42.0278,86.0,21.85
rock sound,40,OM,1612471639,68,17.0151,54.0924,73.4,2.26
